Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
N01,B,B,C,C,D,B,B,B,B,B,B,B,B,B,C,C,C,B,C,B,C,C,C,B,C,D,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B
N02,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,C,C,C,B,C,C,B,B,B,C,B,B,B,B,C,C,B,B,B,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
N03,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,D,D,C,D,C,C,C,C,C,B,B,B,D,C,C,C,C,C,C,B,B,B,D,C,B,C,C,C,C,C,C,B,C,D,C,C,C,C,C,C
N04,B,B,B,C,C,C,C,B,C,B,C,B,C,C,C,C,C,A,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,B,B,B,C,C,C,C,B,C,C,B,C,C
N05,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,C,C,C,C,C,D,B,B,C,D,C,C,B,C,B,B,B,C,C,B,C,C,B,C,B,C,C,B,C,C,B,B,C
N06,B,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,C,C,D,C,B,C,C,B,C,C,C,B,B,C,C,C,C,C,B,B,C,B,C,B,C,B,C,C,B,B,C,C,D,C,C,D,C,C
N07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,C,C,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01,C,C,C,C,C,B,B,B,B,B,B,B,C,C,C,B,C,D,C,C,B,B,B,C,B,C,B,C,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,C,C,C,C,C,C,C,C
P02,D,C,C,D,D,C,C,C,B,B,C,B,C,C,C,C,C,C,C,C,C,D,B,C,D,D,C,D,C,C,C,C,C,D,B,C,B,B,B,D,B,B,B,B,B,C,C,B,B,C,C,C,C,D,C,C,C
P03,C,C,B,C,C,C,C,C,B,C,C,C,C,B,C,C,C,B,B,B,B,B,A,C,C,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,C,B
